voltage,capacity,SoC
3.4362,15.8,0.728916774
3.4365,15.8,0.728916774
3.4371,15.8,0.728916774
3.4371,15.9,0.733530172
3.4375,15.9,0.733530172
3.4378,15.9,0.733530172
3.4378,16,0.738143569
3.4381,16,0.738143569
3.4384,16.1,0.742756966
3.4387,16.1,0.742756966
3.4387,16.1,0.742756966
3.439,16.2,0.747370364
3.4393,16.2,0.747370364
3.4393,16.2,0.747370364
3.4396,16.3,0.751983761
3.4399,16.3,0.751983761
3.4399,16.3,0.751983761
3.4402,16.4,0.756597158
3.4406,16.4,0.756597158
3.4406,16.5,0.761210555
3.4409,16.5,0.761210555
3.4409,16.5,0.761210555
3.4412,16.6,0.765823953
3.4415,16.6,0.765823953
3.4418,16.6,0.765823953
3.4418,16.7,0.77043735
3.4421,16.7,0.77043735
3.4424,16.7,0.77043735
3.4424,16.8,0.775050747
3.4427,16.8,0.775050747
3.443,16.9,0.779664145
3.443,16.9,0.779664145
3.4433,16.9,0.779664145
3.4437,17,0.784277542
3.4437,17,0.784277542
3.4443,17,0.784277542
3.4446,17.1,0.788890939
3.4446,17.1,0.788890939
3.4449,17.1,0.788890939
3.4449,17.2,0.793504337
3.4452,17.2,0.793504337
3.4455,17.2,0.793504337
3.4455,17.3,0.798117734
3.4458,17.3,0.798117734
3.4461,17.4,0.802731131
3.4461,17.4,0.802731131
3.4464,17.4,0.802731131
3.4468,17.5,0.807344529
3.4468,17.5,0.807344529
3.4471,17.5,0.807344529
3.4471,17.6,0.811957926
3.4474,17.6,0.811957926
3.4477,17.6,0.811957926
3.4477,17.7,0.816571323
3.448,17.7,0.816571323
3.4483,17.8,0.82118472
3.4486,17.8,0.82118472
3.4486,17.8,0.82118472
3.4489,17.9,0.825798118
3.4489,17.9,0.825798118
3.4492,17.9,0.825798118
3.4495,18,0.830411515
3.4495,18,0.830411515
3.4499,18,0.830411515
3.4502,18.1,0.835024912
3.4502,18.1,0.835024912
3.4505,18.1,0.835024912
3.4508,18.2,0.83963831
3.4508,18.2,0.83963831
3.4514,18.3,0.844251707
3.4517,18.3,0.844251707
3.4517,18.3,0.844251707
3.452,18.4,0.848865104
3.452,18.4,0.848865104
3.4523,18.4,0.848865104
3.4526,18.5,0.853478502
3.4526,18.5,0.853478502
3.453,18.5,0.853478502
3.4533,18.6,0.858091899
3.4533,18.6,0.858091899
3.4536,18.7,0.862705296
3.4539,18.7,0.862705296
3.4539,18.7,0.862705296
3.4542,18.8,0.867318693
3.4542,18.8,0.867318693
3.4545,18.8,0.867318693
3.4548,18.9,0.871932091
3.4548,18.9,0.871932091
3.4551,18.9,0.871932091
3.4554,19,0.876545488
3.4554,19,0.876545488
3.4557,19.1,0.881158885
3.4561,19.1,0.881158885
3.4561,19.1,0.881158885
3.4564,19.2,0.885772283
3.4564,19.2,0.885772283
3.4567,19.2,0.885772283
3.457,19.3,0.89038568
3.457,19.3,0.89038568
3.4573,19.3,0.89038568
3.4576,19.4,0.894999077
3.4576,19.4,0.894999077
3.4579,19.4,0.894999077
3.4585,19.5,0.899612475
3.4585,19.5,0.899612475
3.4588,19.6,0.904225872
3.4588,19.6,0.904225872
3.4592,19.6,0.904225872
3.4595,19.7,0.908839269
3.4595,19.7,0.908839269
3.4598,19.7,0.908839269
3.4598,19.8,0.913452667
3.4601,19.8,0.913452667
3.4604,19.8,0.913452667
3.4604,19.9,0.918066064
3.4607,19.9,0.918066064
3.461,20,0.922679461
3.461,20,0.922679461
3.4613,20,0.922679461
3.4613,20.1,0.927292858
3.4616,20.1,0.927292858
3.4619,20.1,0.927292858
3.4619,20.2,0.931906256
3.4623,20.2,0.931906256
3.4623,20.2,0.931906256
3.4626,20.3,0.936519653
3.4629,20.3,0.936519653
3.4629,20.4,0.94113305
3.4632,20.4,0.94113305
3.4635,20.4,0.94113305
3.4635,20.5,0.945746448
3.4638,20.5,0.945746448
3.4638,20.5,0.945746448
3.4641,20.6,0.950359845
3.4641,20.6,0.950359845
3.4644,20.6,0.950359845
3.4647,20.7,0.954973242
3.4647,20.7,0.954973242
3.465,20.7,0.954973242
3.465,20.8,0.95958664
3.4654,20.8,0.95958664
3.466,20.9,0.964200037
3.466,20.9,0.964200037
3.4663,20.9,0.964200037
3.4666,21,0.968813434
3.4666,21,0.968813434
3.4669,21,0.968813434
3.4669,21.1,0.973426832
3.4672,21.1,0.973426832
3.4672,21.1,0.973426832
3.4675,21.2,0.978040229
3.4675,21.2,0.978040229
3.4678,21.3,0.982653626
3.4681,21.3,0.982653626
3.4681,21.3,0.982653626
3.4685,21.4,0.987267023
3.4685,21.4,0.987267023
3.4688,21.4,0.987267023
3.4688,21.5,0.991880421
3.4691,21.5,0.991880421
3.4691,21.5,0.991880421
3.4694,21.6,0.996493818
3.4697,21.6,0.996493818
3.4697,21.7,1.001107215
3.47,21.7,1.001107215
3.47,21.7,1.001107215
3.4703,21.8,1.005720613
3.4703,21.8,1.005720613
3.4706,21.8,1.005720613
3.4709,21.9,1.01033401
3.4709,21.9,1.01033401
3.4712,21.9,1.01033401
3.4712,22,1.014947407
3.4716,22,1.014947407
3.4716,22,1.014947407
3.4719,22.1,1.019560805
3.4722,22.1,1.019560805
3.4722,22.2,1.024174202
3.4725,22.2,1.024174202
3.4725,22.2,1.024174202
3.4731,22.3,1.028787599
3.4731,22.3,1.028787599
3.4734,22.3,1.028787599
3.4737,22.4,1.033400996
3.4737,22.4,1.033400996
3.474,22.4,1.033400996
3.474,22.5,1.038014394
3.4743,22.5,1.038014394
3.4743,22.6,1.042627791
3.4747,22.6,1.042627791
3.475,22.6,1.042627791
3.475,22.7,1.047241188
3.4753,22.7,1.047241188
3.4753,22.7,1.047241188
3.4756,22.8,1.051854586
3.4759,22.8,1.051854586
3.4759,22.8,1.051854586
3.4762,22.9,1.056467983
